submission_id,question_id,male,white,answer
94613,4,1,0,0
94613,7,1,0,0
94613,6,0,1,0
94613,23,0,1,0
94613,20,1,0,0
94613,14,1,1,0
94613,10,1,1,0
94613,21,1,0,0
94613,8,1,0,1
94613,15,1,1,0
94613,19,0,1,0
94613,17,0,1,0
94613,24,0,0,0
94613,27,0,0,0
94613,18,1,0,0
94613,25,0,0,0
94613,11,1,0,0
94613,22,0,1,1
94613,9,1,0,1
94613,16,1,1,1
94613,26,0,0,0
94613,12,0,0,0
94613,13,1,0,0
94614,1,1,1,1
94614,6,1,1,0
94614,3,0,0,0
94614,4,0,0,0
94614,7,0,1,0
94614,2,0,1,1
94614,5,1,1,0
94614,10,1,1,0
94614,17,0,1,0
94614,22,1,1,0
94614,18,0,0,0
94614,27,1,0,1
94614,24,1,0,0
94614,9,1,0,1
94614,8,0,0,0
94614,26,0,1,0
94614,19,1,0,1
94614,25,1,0,0
94614,11,0,0,1
94614,12,0,1,0
94614,23,0,1,0
94614,14,0,1,0
94614,16,1,1,0
94614,20,0,0,0
94614,15,0,0,0
94614,13,1,1,1
94614,21,0,0,0
94615,4,1,0,0
94615,5,1,1,1
94615,1,0,1,1
94615,7,0,0,0
94615,3,1,1,0
94615,6,0,1,0
94615,2,1,0,0
94615,26,0,0,0
94615,22,0,0,0
94615,20,1,1,0
94615,15,0,1,0
94615,8,0,1,0
94615,12,1,0,0
94615,24,0,1,0
94615,14,1,0,0
94615,21,1,1,0
94615,23,0,0,0
94615,16,0,0,0
94615,18,1,1,0
94615,13,0,1,0
94615,17,1,1,0
94615,9,1,0,0
94615,11,0,0,0
94615,25,1,0,0
94615,10,1,0,0
94615,19,1,0,0
94615,27,0,1,0
94616,1,1,0,1
94616,3,0,1,0
94616,2,1,1,0
94616,5,1,1,0
94616,6,1,0,0
94616,4,0,0,0
94616,7,1,0,0
94616,23,0,0,0
94616,19,0,1,0
94616,20,1,0,0
94616,9,0,0,0
94616,25,0,0,0
94616,24,1,1,0
94616,12,1,0,0
94617,1,0,0,1
94617,7,1,1,0
94617,4,0,0,0
94617,6,1,0,0
94617,3,1,1,0
94617,2,0,0,1
94617,5,0,0,0
94617,11,0,0,0
94617,23,1,1,0
94617,10,1,0,0
94617,9,1,1,1
94617,12,1,0,0
94617,21,1,1,0
94617,19,1,0,0
94617,18,0,0,0
94617,8,0,1,0
94617,20,1,0,0
94617,15,1,0,0
94617,22,1,1,0
94617,26,1,1,0
94617,16,1,0,0
94617,14,0,1,0
94617,24,0,1,0
94617,27,0,0,0
94617,13,1,1,0
94617,25,1,0,0
94617,17,0,0,0
94618,3,0,1,0
94618,6,0,0,0
94618,7,1,0,0
94618,2,1,0,1
94618,5,1,1,0
94618,1,0,0,1
94618,4,1,1,0
94618,25,0,0,0
94618,27,0,0,0
94618,19,1,0,0
94618,9,1,1,1
94618,10,1,0,0
94618,20,0,1,0
94618,26,0,1,0
94618,14,1,0,0
94618,8,0,1,0
94618,16,1,1,0
94618,17,0,1,0
94618,12,1,0,0
94618,13,0,1,0
94618,22,0,0,0
94618,18,1,1,0
94619,3,1,1,0
94619,5,1,1,0
94619,2,1,0,0
94619,7,1,1,0
94619,4,0,1,0
94619,1,1,0,1
94619,6,1,0,0
94619,18,1,1,0
94619,22,1,0,0
94619,13,1,1,0
94619,8,0,0,0
94619,10,1,1,0
94619,14,0,1,0
94619,15,0,0,0
94619,20,0,1,0
94619,9,1,0,0
94619,11,0,0,0
94619,27,0,1,0
94619,21,0,1,0
94620,3,1,0,0
94620,5,0,0,0
94620,4,1,1,0
94620,6,0,0,0
94620,1,1,1,1
94620,2,1,0,1
94620,7,1,1,0
94620,23,0,0,0
94620,25,0,1,1
94620,13,0,1,0
94620,20,1,0,0
94620,12,0,1,0
94620,14,1,0,0
94620,11,0,1,1
94620,18,0,1,0
94620,8,1,0,1
94620,9,0,0,1
